lat,long,elev,timediff
399950871,-794457882,4604,1:15:27.010000
399950876,-794457894,4605,1:15:27.110000
399950883,-794457904,4605,1:15:27.210000
399950892,-794457912,4605,1:15:27.310000
399950894,-794457926,4608,1:15:27.410000
399950903,-794457937,4608,1:15:27.510000
399950911,-794457950,4608,1:15:27.610000
399950919,-794457961,4608,1:15:27.710000
399950929,-794457976,4608,1:15:27.810000
399950940,-794457990,4608,1:15:27.960000
399950946,-794458003,4608,1:15:28.020000
399950956,-794458018,4608,1:15:28.110000
399950968,-794458032,4608,1:15:28.210000
399950980,-794458049,4608,1:15:28.310000
399950988,-794458056,4611,1:15:28.410000
399950999,-794458070,4611,1:15:28.510000
399951013,-794458086,4611,1:15:28.610000
399951024,-794458102,4611,1:15:28.710000
399951034,-794458119,4612,1:15:28.810000
399951045,-794458131,4612,1:15:28.960000
399951056,-794458147,4612,1:15:29.010000
399951072,-794458165,4613,1:15:29.110000
399951080,-794458181,4613,1:15:29.210000
399951094,-794458196,4612,1:15:29.310000
399951109,-794458215,4614,1:15:29.410000
399951120,-794458229,4614,1:15:29.510000
399951131,-794458243,4614,1:15:29.610000
399951143,-794458263,4615,1:15:29.710000
399951143,-794458263,4615,1:15:29.810000
399951165,-794458286,4615,1:15:29.910000
399951165,-794458286,4615,1:15:30.010000
399951172,-794458302,4615,1:15:30.110000
399951184,-794458312,4615,1:15:30.210000
399951204,-794458339,4615,1:15:30.310000
399951204,-794458339,4615,1:15:30.410000
399951208,-794458366,4617,1:15:30.510000
399951218,-794458382,4617,1:15:30.610000
399951228,-794458394,4617,1:15:30.710000
399951239,-794458403,4617,1:15:30.810000
399951248,-794458412,4617,1:15:30.910000
399951254,-794458428,4617,1:15:31.020000
399951261,-794458438,4617,1:15:31.110000
399951266,-794458446,4617,1:15:31.210000
399951277,-794458456,4617,1:15:31.310000
399951282,-794458463,4618,1:15:31.410000
399951303,-794458480,4619,1:15:31.510000
399951306,-794458487,4619,1:15:31.610000
399951314,-794458497,4619,1:15:31.710000
399951320,-794458507,4619,1:15:31.810000
399951328,-794458518,4619,1:15:31.910000
399951337,-794458523,4619,1:15:32.010000
399951344,-794458532,4620,1:15:32.110000
399951350,-794458540,4619,1:15:32.210000
399951362,-794458559,4620,1:15:32.310000
399951389,-794458576,4621,1:15:32.410000
399951396,-794458582,4621,1:15:32.510000
399951396,-794458582,4621,1:15:32.610000
399951401,-794458589,4621,1:15:32.710000
399951412,-794458597,4621,1:15:32.810000
399951416,-794458602,4621,1:15:32.910000
399951420,-794458609,4621,1:15:33.020000
399951426,-794458616,4621,1:15:33.110000
399951431,-794458623,4621,1:15:33.210000
399951437,-794458631,4621,1:15:33.310000
399951443,-794458635,4622,1:15:33.410000
399951463,-794458645,4622,1:15:33.510000
399951464,-794458647,4623,1:15:33.610000
399951473,-794458654,4623,1:15:33.710000
399951471,-794458655,4623,1:15:33.810000
399951476,-794458656,4623,1:15:33.910000
399951479,-794458658,4623,1:15:34.010000
399951479,-794458659,4622,1:15:34.120000
399951479,-794458660,4623,1:15:34.210000
399951481,-794458662,4623,1:15:34.310000
399951482,-794458663,4623,1:15:34.410000
399951488,-794458668,4624,1:15:34.510000
399951487,-794458667,4624,1:15:34.610000
399951488,-794458667,4624,1:15:34.720000
399951488,-794458668,4624,1:15:34.810000
399951488,-794458668,4624,1:15:34.910000
399951488,-794458668,4624,1:15:35.010000
399951489,-794458667,4624,1:15:35.050000
399951488,-794458669,4624,1:15:35.150000
399951488,-794458669,4624,1:15:35.250000
399951488,-794458668,4624,1:15:35.350000
399951498,-794458678,4623,1:15:35.450000
399951498,-794458678,4623,1:15:35.550000
399951498,-794458678,4623,1:15:35.650000
399951498,-794458678,4623,1:15:35.750000
399951498,-794458678,4623,1:15:35.850000
399951498,-794458678,4623,1:15:35.960000
399951498,-794458678,4623,1:15:36.050000
399951498,-794458678,4623,1:15:36.150000
399951498,-794458678,4623,1:15:36.250000
399951498,-794458678,4623,1:15:36.350000
399951499,-794458684,4623,1:15:36.450000
399951499,-794458684,4623,1:15:36.550000
399951499,-794458684,4623,1:15:36.650000
399951499,-794458684,4623,1:15:36.750000
399951499,-794458684,4623,1:15:36.850000
399951499,-794458684,4623,1:15:36.960000
399951499,-794458684,4623,1:15:37.050000
399951499,-794458684,4623,1:15:37.150000
399951499,-794458684,4623,1:15:37.250000
399951499,-794458684,4623,1:15:37.350000
399951582,-794458764,4624,1:15:37.450000
399951594,-794458775,4624,1:15:37.550000
399951604,-794458782,4624,1:15:37.650000
399951607,-794458794,4624,1:15:37.750000
399951618,-794458805,4624,1:15:37.850000
399951628,-794458814,4624,1:15:37.950000
399951638,-794458826,4624,1:15:38.050000
399951647,-794458831,4624,1:15:38.150000
399951658,-794458839,4624,1:15:38.250000
399951668,-794458847,4624,1:15:38.350000
399951692,-794458863,4626,1:15:38.450000
399951699,-794458871,4626,1:15:38.560000
399951713,-794458876,4626,1:15:38.650000
399951720,-794458879,4626,1:15:38.750000
399951730,-794458883,4626,1:15:38.850000
399951737,-794458891,4626,1:15:38.950000
399951744,-794458899,4626,1:15:39.050000
399951753,-794458906,4626,1:15:39.150000
399951760,-794458911,4626,1:15:39.250000
399951767,-794458912,4626,1:15:39.350000
399951790,-794458925,4626,1:15:39.450000
399951797,-794458931,4626,1:15:39.560000
399951804,-794458935,4626,1:15:39.650000
399951810,-794458939,4626,1:15:39.750000
399951816,-794458944,4626,1:15:39.850000
399951821,-794458950,4626,1:15:39.950000
399951828,-794458954,4626,1:15:40.060000
399951834,-794458958,4626,1:15:40.150000
399951840,-794458959,4626,1:15:40.250000
399951845,-794458964,4626,1:15:40.350000
399951859,-794458974,4628,1:15:40.450000
399951861,-794458979,4628,1:15:40.550000
399951866,-794458982,4628,1:15:40.650000
399951871,-794458988,4628,1:15:40.750000
399951874,-794458990,4628,1:15:40.850000
399951879,-794458992,4628,1:15:40.950000
399951884,-794458993,4628,1:15:41.050000
399951889,-794458997,4628,1:15:41.150000
399951892,-794458999,4628,1:15:41.250000
399951897,-794459001,4628,1:15:41.350000
399951915,-794459025,4627,1:15:41.450000
399951917,-794459027,4627,1:15:41.550000
399951923,-794459030,4627,1:15:41.650000
399951929,-794459030,4628,1:15:41.750000
399951934,-794459034,4628,1:15:41.850000
399951938,-794459036,4628,1:15:41.950000
399951942,-794459039,4628,1:15:42.050000
399951948,-794459041,4628,1:15:42.150000
399951954,-794459045,4627,1:15:42.250000
399951962,-794459047,4627,1:15:42.350000
399951984,-794459060,4627,1:15:42.450000
399951990,-794459064,4627,1:15:42.550000
399951999,-794459067,4626,1:15:42.650000
399952008,-794459072,4627,1:15:42.760000
399952019,-794459076,4627,1:15:42.850000
399952030,-794459076,4626,1:15:42.950000
399952039,-794459078,4626,1:15:43.050000
399952051,-794459079,4626,1:15:43.150000
399952064,-794459080,4627,1:15:43.250000
399952079,-794459080,4626,1:15:43.350000
399952095,-794459078,4627,1:15:43.450000
399952110,-794459076,4627,1:15:43.480000
399952127,-794459073,4627,1:15:43.580000
399952145,-794459067,4627,1:15:43.680000
399952162,-794459064,4627,1:15:43.780000
399952182,-794459056,4627,1:15:43.880000
399952199,-794459048,4627,1:15:43.990000
399952214,-794459037,4627,1:15:44.080000
399952235,-794459027,4627,1:15:44.180000
399952253,-794459017,4627,1:15:44.280000
399952278,-794459004,4629,1:15:44.390000
399952295,-794458991,4628,1:15:44.470000
399952312,-794458973,4628,1:15:44.570000
399952328,-794458958,4628,1:15:44.680000
399952348,-794458937,4628,1:15:44.880000
399952364,-794458920,4628,1:15:44.970000
399952380,-794458904,4628,1:15:45.070000
399952394,-794458885,4628,1:15:45.170000
399952411,-794458866,4628,1:15:45.270000
399952427,-794458840,4627,1:15:45.280000
399952444,-794458813,4628,1:15:45.380000
399952460,-794458786,4628,1:15:45.490000
399952474,-794458764,4628,1:15:45.590000
399952487,-794458739,4627,1:15:45.680000
399952502,-794458713,4627,1:15:45.780000
399952517,-794458685,4626,1:15:45.970000
399952532,-794458660,4626,1:15:46.070000
399952542,-794458626,4627,1:15:46.080000
399952559,-794458594,4626,1:15:46.180000
399952571,-794458567,4626,1:15:46.270000
399952586,-794458522,4627,1:15:46.370000
