lat,long,elev,timediff
399952073,-794458792,4671,0:07:16.520000
399952098,-794458795,4671,0:07:16.620000
399952470,-794458788,4676,0:07:18.820000
399952521,-794458773,4676,0:07:19.140000
399953018,-794457736,4666,0:07:22.320000
399953335,-794455778,4643,0:07:24.920000
399953350,-794455688,4643,0:07:25.020000
399953369,-794455592,4642,0:07:25.120000
399953384,-794455496,4641,0:07:25.220000
399953451,-794455105,4637,0:07:25.650000
399953457,-794454998,4634,0:07:25.720000
399953476,-794454892,4633,0:07:25.820000
399953492,-794454786,4633,0:07:25.920000
399953519,-794454680,4632,0:07:26.020000
399953630,-794454124,4625,0:07:26.540000
399953686,-794453903,4622,0:07:26.730000
399953711,-794453788,4620,0:07:26.820000
399953753,-794453550,4618,0:07:27.040000
399953812,-794453314,4616,0:07:27.240000
399953959,-794452580,4606,0:07:27.830000
399953991,-794452456,4603,0:07:27.920000
399954041,-794452207,4600,0:07:28.130000
399954065,-794452077,4599,0:07:28.230000
399954090,-794451950,4597,0:07:28.320000
399954121,-794451823,4595,0:07:28.420000
399954138,-794451695,4593,0:07:28.520000
399954163,-794451558,4592,0:07:28.620000
399954197,-794451432,4591,0:07:28.720000
399954218,-794451298,4590,0:07:28.820000
399954259,-794451168,4587,0:07:28.920000
399954280,-794451034,4585,0:07:29.020000
399954304,-794450898,4583,0:07:29.120000
399954333,-794450769,4582,0:07:29.220000
399954359,-794450630,4581,0:07:29.320000
399954384,-794450499,4577,0:07:29.420000
399954414,-794450362,4577,0:07:29.530000
399954438,-794450227,4576,0:07:29.620000
399954471,-794450092,4575,0:07:29.720000
399954507,-794449961,4574,0:07:29.820000
399954538,-794449829,4572,0:07:29.920000
399954566,-794449686,4570,0:07:30.020000
399954621,-794449408,4566,0:07:30.230000
399954649,-794449273,4564,0:07:30.320000
399954649,-794449273,4564,0:07:30.420000
399954693,-794448994,4563,0:07:30.520000
399954723,-794448851,4562,0:07:30.620000
399954723,-794448851,4562,0:07:30.720000
399954766,-794448721,4559,0:07:30.820000
399954800,-794448578,4557,0:07:30.920000
399954829,-794448430,4555,0:07:31.020000
399954856,-794448292,4553,0:07:31.120000
399954891,-794448154,4551,0:07:31.220000
399954924,-794448004,4549,0:07:31.320000
399954951,-794447863,4548,0:07:31.330000
399954970,-794447713,4549,0:07:31.520000
399954986,-794447564,4545,0:07:31.530000
399955018,-794447415,4543,0:07:31.630000
399955051,-794447271,4540,0:07:31.720000
399955073,-794447122,4539,0:07:31.830000
399955099,-794446971,4538,0:07:31.940000
399955128,-794446823,4536,0:07:32.030000
399955157,-794446672,4535,0:07:32.130000
399955189,-794446524,4532,0:07:32.230000
399955218,-794446375,4531,0:07:32.340000
399955251,-794446222,4529,0:07:32.440000
399955292,-794446073,4528,0:07:32.530000
399955337,-794445922,4526,0:07:32.630000
399955367,-794445772,4525,0:07:32.730000
399955398,-794445625,4524,0:07:32.830000
399955432,-794445472,4522,0:07:32.930000
399955459,-794445322,4520,0:07:33.030000
399955492,-794445174,4519,0:07:33.130000
399955526,-794445031,4518,0:07:33.230000
399955558,-794444870,4513,0:07:33.330000
399955576,-794444712,4513,0:07:33.430000
399955609,-794444568,4512,0:07:33.530000
399955641,-794444419,4509,0:07:33.640000
399955672,-794444272,4508,0:07:33.730000
399955699,-794444117,4508,0:07:33.830000
399955731,-794443971,4505,0:07:33.930000
399955759,-794443814,4504,0:07:34.030000
399955790,-794443672,4503,0:07:34.130000
399955814,-794443519,4501,0:07:34.230000
399955842,-794443378,4500,0:07:34.330000
399955864,-794443222,4498,0:07:34.430000
399955898,-794443077,4496,0:07:34.520000
399955920,-794442928,4494,0:07:34.620000
399955950,-794442777,4493,0:07:34.730000
399955973,-794442623,4493,0:07:34.820000
399955997,-794442478,4492,0:07:34.920000
399956022,-794442326,4491,0:07:35.020000
399956043,-794442178,4490,0:07:35.120000
399956073,-794442032,4488,0:07:35.220000
399956089,-794441877,4487,0:07:35.320000
399956104,-794441731,4485,0:07:35.420000
399956127,-794441577,4485,0:07:35.520000
399956143,-794441430,4483,0:07:35.620000
399956166,-794441282,4483,0:07:35.720000
399956177,-794441129,4480,0:07:35.820000
399956190,-794440979,4478,0:07:35.920000
399956202,-794440831,4476,0:07:36.020000
399956219,-794440682,4476,0:07:36.120000
399956221,-794440527,4474,0:07:36.220000
399956233,-794440373,4473,0:07:36.320000
399956240,-794440228,4471,0:07:36.420000
399956237,-794440080,4469,0:07:36.520000
399956248,-794439933,4467,0:07:36.620000
399956249,-794439779,4466,0:07:36.720000
399956259,-794439631,4464,0:07:36.810000
399956262,-794439479,4462,0:07:36.920000
399956267,-794439327,4460,0:07:37.010000
399956272,-794439179,4459,0:07:37.110000
399956274,-794439027,4458,0:07:37.210000
399956275,-794438873,4456,0:07:37.310000
399956277,-794438724,4454,0:07:37.410000
399956271,-794438577,4452,0:07:37.510000
399956266,-794438429,4451,0:07:37.610000
399956261,-794438270,4449,0:07:37.710000
399956263,-794438122,4448,0:07:37.810000
399956261,-794437965,4446,0:07:37.910000
399956252,-794437817,4446,0:07:38.010000
399956244,-794437657,4445,0:07:38.110000
399956243,-794437511,4444,0:07:38.210000
399956238,-794437358,4442,0:07:38.310000
