lat,long,elev,timediff
399950854,-794457558,4629,2:08:51.100000
399950854,-794457558,4629,2:08:51.540000
399950854,-794457558,4629,2:08:51.540000
399950854,-794457558,4629,2:08:51.540000
399950854,-794457558,4629,2:08:51.550000
399950854,-794457558,4629,2:08:51.600000
399950854,-794457558,4629,2:08:52.040000
399950854,-794457558,4629,2:08:52.040000
399950854,-794457558,4629,2:08:52.040000
399950854,-794457558,4629,2:08:52.050000
399950854,-794457558,4629,2:08:52.100000
399950854,-794457558,4629,2:08:52.530000
399950854,-794457558,4629,2:08:52.530000
399950854,-794457558,4629,2:08:52.540000
399950854,-794457558,4629,2:08:52.540000
399950854,-794457558,4629,2:08:52.600000
399950854,-794457558,4629,2:08:53
399950854,-794457558,4629,2:08:53
399950854,-794457558,4629,2:08:53.010000
399950854,-794457558,4629,2:08:53.010000
399950854,-794457558,4629,2:08:53.500000
399950854,-794457558,4629,2:08:53.500000
399950854,-794457558,4629,2:08:53.510000
399950854,-794457558,4629,2:08:53.510000
399950854,-794457558,4629,2:08:53.510000
399950854,-794457558,4629,2:08:53.600000
399950854,-794457558,4629,2:08:53.700000
399950854,-794457558,4629,2:08:53.800000
399950854,-794457558,4629,2:08:53.900000
399950854,-794457558,4629,2:08:54
399950854,-794457558,4629,2:08:54.100000
399950854,-794457558,4629,2:08:54.200000
399950854,-794457558,4629,2:08:54.300000
399950854,-794457558,4629,2:08:54.400000
399950854,-794457558,4629,2:08:54.500000
399950854,-794457558,4629,2:08:54.610000
399950854,-794457558,4629,2:08:54.700000
399950854,-794457558,4629,2:08:54.800000
399950854,-794457558,4629,2:08:54.900000
399950854,-794457558,4629,2:08:55
399950854,-794457558,4629,2:08:55.100000
399950854,-794457558,4629,2:08:55.200000
399950854,-794457558,4629,2:08:55.300000
399950854,-794457558,4629,2:08:55.400000
399950854,-794457558,4629,2:08:55.500000
399950854,-794457558,4629,2:08:55.600000
399950854,-794457558,4629,2:08:55.700000
399950854,-794457558,4629,2:08:55.800000
399950854,-794457558,4629,2:08:55.900000
399950854,-794457558,4629,2:08:56
399950854,-794457558,4629,2:08:56.110000
399950854,-794457558,4629,2:08:56.200000
399950854,-794457558,4629,2:08:56.300000
399950854,-794457558,4629,2:08:56.400000
399950854,-794457558,4629,2:08:56.500000
